Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Rowville Recreation Reserve,Rowville,-37.943862,145.231053,Australian Rules Football,2.0,Grass,,,Knox,Stud Road Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Football']",,
Scoresby Recreation Reserve (Exner Reserve),Scoresby,-37.897397999999995,145.230703,Australian Rules Football,1.0,Grass,,,Knox,Stud Road Scoresby 3179,,"['Knox', 'Scoresby', 'Sports', 'Football']",,
Stud Park Reserve,Rowville,-37.921134,145.239225,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Fulham Road Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Football']",,
Tormore Reserve,Boronia,-37.860161,145.27973799999998,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Tormore Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Football']",,
Walker Reserve,Wantirna South,-37.873306,145.239168,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Tyner Road Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Football']",,
Wally Tew Reserve,Ferntree Gully,-37.891451,145.29265900000001,Australian Rules Football,2.0,Grass,,,Knox,Brenock Park Drive Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Football']",,
Wantirna Reserve,Wantirna,-37.857561,145.210701,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Mountain Highway Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Football']",,
Windermere Reserve,Ferntree Gully,-37.896963,145.26341000000002,Australian Rules Football,1.0,Grass,,"Female, Male",Knox,Windermere Drive Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Football']",,
Rowville Community Centre,Rowville,-37.919609,145.239588,Badminton,6.0,Wooden Flooring,,,Knox,20 Fulham Road Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Badminton']",,
Gilbert Park Reserve,Knoxfield,-37.896456,145.25073899999998,Baseball,8.0,Grass,,,Knox,Forbes Close Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Baseball']",,
Bayswater Indoor Soccer Centre,Bayswater,-37.845958,145.271516,Basketball,2.0,,,,Knox,13 Burton Court Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Basketball']",,
Carrington Park Leisure Centre,Knoxfield,-37.895309000000005,145.242961,Basketball,,,,,Knox,20 O'Connor Road Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Basketball']",,
Knox Basketball Stadium,Boronia,-37.864488,145.283504,Basketball,6.0,Wooden Gymnasium,,,Knox,Park Crescent Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Basketball']",,
Knox BMX Club,Knoxfield,-37.898715,145.25861799999998,BMX,,,,,Knox,Bunjil Way Knoxfield,,"['Knox', 'Knoxfield', 'Sports']",,
Knox Park Reserve,Knoxfield,-37.894515999999996,145.25776499999998,BMX,,,,,Knox,Bunjil Way Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports']",,
Bayswater Secondary College,Bayswater,-37.836923999999996,145.262217,Cricket,1.0,Synthetic Pitch,,,Knox,Church Street Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Cricket']",,
Colchester Reserve,Boronia,-37.839933,145.302088,Cricket,1.0,Synthetic Pitch,,,Knox,Colchester Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Cricket']",,
Gilmour Park Reserve,Upper Ferntree Gully,-37.903201,145.30868700000002,Cricket,1.0,Synthetic Pitch,,,Knox,Ferndale Road Upper Ferntree Gully 3156,,"['Knox', 'Upper Ferntree Gully', 'Sports', 'Cricket']",,
Guy Turner Reserve,Bayswater,-37.848192,145.252939,Cricket,1.0,Synthetic Pitch,,,Knox,Amber Street Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Cricket']",,
H.V Jones Reserve,Ferntree Gully,-37.890845,145.26990700000002,Cricket,1.0,Synthetic Pitch,,,Knox,Kingston Street Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Cricket']",,
Karoo Road Reserve,Rowville,-37.905699,145.261866,Cricket,1.0,Synthetic Pitch,,,Knox,"Kellbourne Drive, Rowville, City of Knox, Victoria, 3156, Australia",,"['Knox', 'Rowville', 'Sports', 'Cricket']",,
Llewellyn Park Reserve,Wantirna South,-37.883427000000005,145.218192,Cricket,2.0,Synthetic Pitch,,,Knox,Fonteyn Drive Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Cricket']",,
Milpera Reserve,Wantirna,-37.860845,145.218478,Cricket,1.0,Synthetic Pitch,,"Female, Male",Knox,Milpera Crescent Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Cricket']",,
Parkridge Reserve,Rowville,-37.91572,145.26558300000002,Cricket,1.0,Synthetic Pitch,,"Female, Male",Knox,Dandelion Drive Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Cricket']",,
Schultz Reserve,Wantirna,-37.848833,145.237506,Cricket,1.0,Synthetic Pitch,,"Female, Male",Knox,Kingloch Parade Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Cricket']",,
Scoresby Secondary College,Scoresby,-37.889564,145.23771599999998,Cricket,1.0,Synthetic Pitch,,,Knox,2 Cavelle Street Scoresby 3179,,"['Knox', 'Scoresby', 'Sports', 'Cricket']",,
Talaskia Reserve,Upper Ferntree Gully,-37.897205,145.314823,Cricket,1.0,Synthetic Pitch,,,Knox,Talaskia Road Upper Ferntree Gully 3156,,"['Knox', 'Upper Ferntree Gully', 'Sports', 'Cricket']",,
Templeton Reserve,Wantirna,-37.860365,145.225888,Cricket,1.0,Synthetic Pitch,,,Knox,Templeton Street Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Cricket']",,
Wantirna Secondary College,Wantirna,-37.856243,145.23148999999998,Cricket,1.0,Synthetic Pitch,,,Knox,Harold Street Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Cricket']",,
Eastern Indoor Sports Centre,Knoxfield,-37.893631,145.256038,Cricket (Indoor),2.0,,,,Knox,1642 Ferntree Gully Road Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Cricket']",,
Knox Indoor Sports,Wantirna South,-37.869,145.248,Cricket (Indoor),,,,,Knox,108 Lewis Road Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Cricket']",,
Anytime Fitness Bayswater,Bayswater,-37.842701,145.26660900000002,Fitness / Gymnasium Workouts,,,,,Knox,7-13 High Street Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Gymnasium']",,
Curves Wantirna,Bayswater,-37.848438,145.246474,Fitness / Gymnasium Workouts,,,,,Knox,73B Stud Road Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Gymnasium']",,
Knox Park Squash Centre,Bayswater,-37.84025,145.26513799999998,Fitness / Gymnasium Workouts,,,,,Knox,3 James Street Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Gymnasium']",,
Kingston Links Golf Course,Rowville,-37.920156,145.218242,Golf,1.0,18 Hole Course - Public,,,Knox,Corporate Avenue Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Golf']",,
Tirhatuan Lakes Golf Course,Rowville,-37.941912,145.229471,Golf,1.0,18 Hole Course - Public,,,Knox,Police Road Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Golf']",,
Waterford Valley Golf Course,Knoxfield,-37.902377,145.26068,Golf,1.0,18 Hole Course - Public,,,Knox,131 Bunjil Way Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Golf']",,
Waverley Golf Club,Rowville,-37.936067,145.237455,Golf,1.0,18 Hole Course - Private,,,Knox,82 Bergins Road Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Golf']",,
Knox Gymnastics Centre,Ferntree Gully,-37.881,145.276,Gymnastics,1.0,,,,Knox,4 Mossfield Avenue Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Gymnastics']",,
Mountain Districts Gymnastics Centre,Bayswater,-37.842391,145.241647,Gymnastics,1.0,,,,Knox,23 Michellan Court Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Gymnastics']",,
Knox School Hockey Facility,Wantirna,-37.864758,145.219867,Hockey,1.0,Artificial Turf,,,Knox,220 Burwood Highway Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Hockey']",,
Balmoral Gardens Bowls Club,Wantirna South,-37.886324,145.230319,Lawn Bowls,1.0,,,,Knox,Ridge Road Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports']",,
Bayswater Bowls Club,Bayswater,-37.848437,145.253155,Lawn Bowls,,,,,Knox,Phyllis Street Bayswater 3153,,"['Knox', 'Bayswater', 'Sports']",,
Boronia Bowls Club,Boronia,-37.8645,145.291,Lawn Bowls,2.0,Artificial Turf,,"Female, Male",Knox,5 Marie Street Boronia 3155,,"['Knox', 'Boronia', 'Sports']",,
Ferntree Gully Bowling Club,Ferntree Gully,-37.890088,145.28594099999998,Lawn Bowls,3.0,Artificial Turf,,,Knox,Glenfern Road Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports']",,
Firestorm Dojo's,Bayswater,-37.845,145.2725,Martial Arts,,,,,Knox,9/21 Power Road Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Martial Arts']",,
Golden Lion Academy,Rowville,-37.911,145.245,Martial Arts,,,,,Knox,2 Laser Drive Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Martial Arts']",,
Loong Fu Pai Martial Arts Academy,Ferntree Gully,-37.904,145.2815,Martial Arts,,,,,Knox,7 Cullinan Court Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Martial Arts']",,
Melbourne Taekwondo Centre,Rowville,-37.911,145.244,Martial Arts,,,,,Knox,1 Laser Drive Rowville 3178,,"['Knox', 'Rowville', 'Sports', 'Martial Arts']",,
Knox Regional Netball Centre,Ferntree Gully,-37.888906,145.279168,Netball,18.0,Synthetic,,,Knox,9 Dempster Street Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Netball']",,
Egan Lee Reserve,Knoxfield,-37.883019,145.247276,Soccer,3.0,Grass,,,Knox,Wallace Road Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Soccer']",,
Big Slide Indoor Sport Play Centre,Knoxfield,-37.893361999999996,145.256136,Soccer (Indoor Soccer / Futsal),,,,,Knox,1642 Ferntree Gully Road Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Soccer']",,
Alan Hammill's Squash Centre,Ferntree Gully,-37.874958,145.2705,Squash / Racquetball,4.0,,,,Knox,47 McMahons Road Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Squash']",,
Beaver Swim School Pty Ltd,Boronia,-37.861,145.2685,Swimming,,,,,Knox,262 Boronia Road Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Swimming']",,
AMF Boronia,Boronia,-37.861999999999995,145.2845,Ten Pin Bowling,,,,,Knox,125 Boronia Road Boronia 3155,,"['Knox', 'Boronia', 'Sports']",,
AMF Knox Bowl,Wantirna South,-37.868704,145.24518500000002,Ten Pin Bowling,,,,,Knox,Perth Court Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports']",,
Boronia Reserve Public Tennis Courts,Boronia,-37.864729,145.28513700000002,Tennis (Outdoor),1.0,Asphalt,,,Knox,Park Crescent Boronia 3155,,"['Knox', 'Boronia', 'Sports', 'Tennis']",,
Coleman Road Reserve Tennis Courts,Wantirna South,-37.861206,145.25303,Tennis (Outdoor),2.0,Asphalt,,,Knox,Coleman Road Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Tennis']",,
Flamingo Reserve,Wantirna South,-37.868512,145.222872,Tennis (Outdoor),2.0,Asphalt,,,Knox,Merryn Grove Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Tennis']",,
Glenfern Park,Ferntree Gully,-37.890088,145.28594099999998,Tennis (Outdoor),8.0,Clay,,,Knox,Glenfern Road Ferntree Gully 3156,,"['Knox', 'Ferntree Gully', 'Sports', 'Tennis']",,
Goodlife Health Clubs - Tennis Courts,Wantirna,-37.854284,145.21717900000002,Tennis (Outdoor),4.0,,,,Knox,141 Mountain Highway Wantirna 3152,,"['Knox', 'Wantirna', 'Sports', 'Tennis']",,
Knox City Tennis Club,Wantirna South,-37.863356,145.24793799999998,Tennis (Outdoor),8.0,Clay,,,Knox,Neville Street Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Tennis']",,
Otway Street Tennis Court,Knoxfield,-37.89376,145.249447,Tennis (Outdoor),1.0,Asphalt,,,Knox,Otway Street Knoxfield 3180,,"['Knox', 'Knoxfield', 'Sports', 'Tennis']",,
Pancretan Association of Melbourne - Tennis Club,Wantirna South,-37.870216,145.21326100000002,Tennis (Outdoor),3.0,,,,Knox,90 Cathies Lane Wantirna South 3152,,"['Knox', 'Wantirna South', 'Sports', 'Tennis']",,
Reta Matthews Reserve,Ferntree Gully,-37.868846999999995,145.277379,Tennis (Outdoor),8.0,Clay,,,Knox,Burke Road Ferntree Gully 3178,,"['Knox', 'Ferntree Gully', 'Sports', 'Tennis']",,
St Jude's Tennis Club,Scoresby,-37.890232,145.226622,Tennis (Outdoor),6.0,Clay,,,Knox,49 George Street Scoresby 3179,,"['Knox', 'Scoresby', 'Sports', 'Tennis']",,
Templer Tennis Club,Bayswater,-37.853825,145.262488,Tennis (Outdoor),3.0,Clay,,,Knox,51 Elizabeth Street Bayswater 3153,,"['Knox', 'Bayswater', 'Sports', 'Tennis']",,
J. W. Manson Reserve,Heathmont,-37.840846,145.23698100000001,Cricket,3.0,Synthetic Pitch,3. Average,Male,Knox,Selkirk Avenue Heathmont 3135,,"['Knox', 'Heathmont', 'Sports', 'Cricket']",,
BUGS Gymnastics,Burwood,-37.854679,145.104075,Gymnastics,,,,,Monash,76 Highbury Road Burwood 3125,,"['Monash', 'Burwood', 'Sports', 'Gymnastics']",,
Lifestyle Fitness,Wodonga,-37.903884999999995,145.16374199999998,Fitness / Gymnasium Workouts,1.0,,,,Monash,70 Elgin Road Wodonga 3690,,"['Monash', 'Wodonga', 'Sports', 'Gymnasium']",,
Central Reserve,Glen Waverley,-37.892337,145.16101799999998,Athletics,1.0,Grass Running Track,,,Monash,Springvale Road Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Athletics']",,
Davies Reserve,Oakleigh,-37.92001,145.103307,Athletics,1.0,Synthetic Running Track,4. Good,"Umpire/Officials, Unisex",Monash,Talbot Avenue Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Athletics']",,
Brentwood Reserve,Glen Waverley,-37.902519,145.17083799999997,Australian Rules Football,1.0,Grass,3. Average,Male,Monash,Maylands Cresent Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Football']",,
Capital Reserve,Glen Waverley,-37.87233,145.1809,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Monash,Capital Avenue Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Football']",,
Central Reserve North,Glen Waverley,-37.889426,145.162137,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Monash,Waverley Road Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Football']",,
Columbia Park,Wheelers Hill,-37.914574,145.185575,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Monash,Columbia Drive Wheelers Hill 3150,,"['Monash', 'Wheelers Hill', 'Sports', 'Football']",,
Essex Heights Reserve,Ashwood,-37.863979,145.113732,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Monash,Outlook Road Ashwood 3147,,"['Monash', 'Ashwood', 'Sports', 'Football']",,
Jordan Reserve,Chadstone,-37.877034,145.10822,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Monash,Huntingdale Road Chadstone 3148,,"['Monash', 'Chadstone', 'Sports', 'Football']",,
Marshall Reserve,Huntingdale,-37.912046999999994,145.138854,Australian Rules Football,1.0,Grass,,,Monash,Ring East Road Huntingdale 3166,,"['Monash', 'Huntingdale', 'Sports', 'Football']",,
Mayfield Park,Oakleigh,-37.887178999999996,145.115781,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Monash,Mayfield Drive Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Football']",,
Meade Reserve,Clayton,-37.922689,145.1162,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Monash,Haughton Road Clayton 3168,,"['Monash', 'Clayton', 'Sports', 'Football']",,
Mt Waverley Reserve,Mt Waverley,-37.872671999999994,145.135324,Australian Rules Football,1.0,Grass,4. Good,Unisex,Monash,Fleet Street Mt Waverley 3149,,"['Monash', 'Mt Waverley', 'Sports', 'Football']",,
Mulgrave Reserve,Wheelers Hill,-37.921663,145.202028,Australian Rules Football,2.0,Grass,3. Average,Unisex,Monash,Gamett Road Wheelers Hill 3150,,"['Monash', 'Wheelers Hill', 'Sports', 'Football']",,
Pinewood Reserve,Mt Waverley,-37.888574,145.138687,Australian Rules Football,1.0,Grass,2. Poor,Male,Monash,Pinewood Drive Mt Waverley 3149,,"['Monash', 'Mt Waverley', 'Sports', 'Football']",,
Princess Hwy Reserve,Oakleigh,-37.909012,145.116778,Australian Rules Football,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Monash,Dandenong Road Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Football']",,
Scammell Reserve,Oakleigh,-37.911491,145.092806,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Monash,Guest Road Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Football']",,
Tally Ho Reserve,Mt Waverley,-37.862347,145.145433,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Monash,Bennett Avenue Mt Waverley 3149,,"['Monash', 'Mt Waverley', 'Sports', 'Football']",,
Warrawee Park,Oakleigh,-37.896282,145.088782,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Monash,Drummond Street Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Football']",,
Waverley Park,Mulgrave,-37.925702,145.188673,Australian Rules Football,1.0,Grass,,,Monash,Stadium Circuit Mulgrave 3170,,"['Monash', 'Mulgrave', 'Sports', 'Football']",,
Wellington Reserve,Mulgrave,-37.927284,145.162584,Australian Rules Football,1.0,Grass,2. Poor,Male,Monash,Mackie Road Mulgrave 3170,,"['Monash', 'Mulgrave', 'Sports', 'Football']",,
Oakleigh Recreation Centre,Oakleigh,-37.893318,145.097143,Badminton,,Wooden Gymnasium,4. Good,Unisex,Monash,Park Road Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Badminton']",,
Gladeswood Reserve,Mulgrave,-37.932221000000006,145.199512,Baseball,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Monash,Maygrove Way Mulgrave 3170,,"['Monash', 'Mulgrave', 'Sports', 'Baseball']",,
Monash University Baseball Club,Clayton,-37.913903000000005,145.139159,Baseball,1.0,Grass,,,Monash,Oval Road Clayton 3168,,"['Monash', 'Clayton', 'Sports', 'Baseball']",,
Napier Park,Glen Waverley,-37.879258,145.189601,Baseball,4.0,Grass,3. Average,Unisex,Monash,High Street Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Baseball']",,
Scotchmans Run Reserve,Oakleigh,-37.893724,145.102808,Baseball,1.0,Grass,2. Poor,Male,Monash,Estelle Street Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Baseball']",,
Brandon Park Community Centre,Glen Waverley,-37.902145000000004,145.16446499999998,Basketball,1.0,Wooden Gymnasium,4. Good,,Monash,649 Ferntree Gully Road Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Basketball']",,
Syndal Baptist Church,Glen Waverley,-37.872238,145.13674699999999,Basketball,,Wooden Gymnasium,,,Monash,588 High St Road Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Basketball']",,
Waverley Basketball Club (Glendall Primary School),Glen Waverley,-37.866948,145.157592,Basketball,,Wooden Gymnasium,,,Monash,Nottingham Street Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Basketball']",,
Waverley Basketball Stadium,Chadstone,-37.876276000000004,145.099839,Basketball,6.0,Wooden Gymnasium,4. Good,"Female, Male, Umpire/Officials",Monash,Power Avenue Chadstone 3148,,"['Monash', 'Chadstone', 'Sports', 'Basketball']",,
Stan Riley Reserve,Oakleigh,-37.923125,145.086473,BMX,1.0,Dirt,2. Poor,"Female, Male, Unisex",Monash,Cameron Avenue Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports']",,
Carlson Reserve,Clayton,-37.90462,145.124999,Bocce,1.0,,3. Average,,Monash,Clayton Road Clayton 3168,,"['Monash', 'Clayton', 'Sports']",,
Talbot Park,Oakleigh,-37.92628,145.10358300000001,Bocce,1.0,,4. Good,,Monash,Talbot Avenue Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports']",,
Oakleigh Youth Club,Ashwood,-37.869427,145.109264,Boxing,1.0,,3. Average,,Monash,21 Electra Avenue Ashwood 3147,,"['Monash', 'Ashwood', 'Sports', 'Boxing']",,
Electra Reserve,Ashwood,-37.869427,145.109264,Callisthenics,2.0,Grass,5. Very Good,"Female, Male",Monash,Electra Avenue Ashwood 3147,,"['Monash', 'Ashwood', 'Sports']",,
Ashwood College,Ashwood,-37.865999,145.106002,Cricket,1.0,Synthetic Pitch,1. Very Poor,"Male, Umpire/Officials",Monash,Cassina Avenue Ashwood 3147,,"['Monash', 'Ashwood', 'Sports', 'Cricket']",,
Batesford Reserve,Chadstone,-37.876276000000004,145.099839,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Monash,Power Avenue Chadstone 3148,,"['Monash', 'Chadstone', 'Sports', 'Cricket']",,
Brandon Park Reserve,Wheelers Hill,-37.902145000000004,145.16446499999998,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Monash,Ferntree Gully Road Wheelers Hill 3150,,"['Monash', 'Wheelers Hill', 'Sports', 'Cricket']",,
Caloola Reserve,Oakleigh,-37.890316,145.09265,Cricket,2.0,Synthetic Pitch,1. Very Poor,Male,Monash,Atkinson Street Oakleigh 3166,,"['Monash', 'Oakleigh', 'Sports', 'Cricket']",,
Duerdin Street Reserve (School Site),Clayton,-37.909735999999995,145.14805900000002,Cricket,1.0,Concrete Pitch,,,Monash,Duerdin Street Clayton 3168,,"['Monash', 'Clayton', 'Sports', 'Cricket']",,
Freeway Reserve,Mulgrave,-37.917795,145.16693999999998,Cricket,2.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",Monash,Kernot Avenue Mulgrave 3170,,"['Monash', 'Mulgrave', 'Sports', 'Cricket']",,
Fregon Reserve,Clayton,-37.917409,145.12647900000002,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Monash,Browns Road Clayton 3168,,"['Monash', 'Clayton', 'Sports', 'Cricket']",,
Glen Waverley North Reserve,Glen Waverley,-37.869663,145.160003,Cricket,1.0,Synthetic Pitch,5. Very Good,"Male, Umpire/Officials",Monash,Mulgrave Street Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Cricket']",,
Jingella Reserve,Ashwood,-37.87079,145.09713,Cricket,1.0,Synthetic Pitch,1. Very Poor,"Male, Umpire/Officials",Monash,Power Avenue Ashwood 3147,,"['Monash', 'Ashwood', 'Sports', 'Cricket']",,
Larpent Reserve,Glen Waverley,-37.870903000000006,145.17041799999998,Cricket,1.0,,2. Poor,Unisex,Monash,Hammence Street Glen Waverley 3150,,"['Monash', 'Glen Waverley', 'Sports', 'Cricket']",,
Lum Reserve,Wheelers Hill,-37.911561,145.17631599999999,Cricket,2.0,Synthetic Pitch,3. Average,"Female, Male",Monash,Lum Road Wheelers Hill 3150,,"['Monash', 'Wheelers Hill', 'Sports', 'Cricket']",,
